fold,holdout_study,n_train,n_val,n_test,test_mae,test_rmse,test_r2
1,garbinski2023_tm1.csv,969,255,86,13.307693481445312,15.248855297714153,-2.57224440574646
10,hutchinson2023enhancement_singletm1_igg.csv,1049,238,23,1.3723993301391602,1.6410921430829601,0.004393637180328369
11,hutchinson2023enhancement_top200tm1_igg.csv,900,218,192,2.156654119491577,2.943739898729103,-0.18511927127838135
12,hutchinson2023enhancement_top27tm1_igg.csv,1046,236,28,1.6023579835891724,2.4897231590769273,0.04446595907211304
13,jain2017biophysical_Tm.csv,918,255,137,6.579419136047363,8.860935726310217,-1.3021833896636963
14,jain2024assessment_Tm.csv,1035,232,43,5.676080226898193,6.793715310381048,-1.0747532844543457
19,sulea2019assisted_sdAb_tm.csv,1045,232,33,1.9597866535186768,2.372536536077106,0.236799418926239
20,tresanco2023nbthermo_tm.csv,460,179,671,8.359981536865234,10.357957930039529,-0.04675590991973877
